candidate sequence ID	candidate nucleotide count	errors	template ID	BLAST percent identity to template	candidate nucleotide count post-NAST
4338349 1-B5_S17_L001_R1_001_2160201	443		303937	94.10	443
4338624 1-G3_S75_L001_R1_001_4668665	465		158415	93.80	465
4339144 1-F6_S66_L001_R1_001_113949	459		4333921	90.20	459
4341534 2-D4_S136_L001_R1_001_1070481	439		193666	92.00	439
4341633 1-G7_S79_L001_R1_001_2029809	460		183870	92.60	460
4341886 1-F12_S72_L001_R1_001_1351232	439		293471	94.30	439
4343940 1-H8_S92_L001_R1_001_1086414	439		289730	97.70	439
4344860 2-E2_S146_L001_R1_001_810788	442		297872	96.40	442
4345850 2-H10_S190_L001_R1_001_3036923	460		183870	95.00	460
4346307 2-A5_S101_L001_R1_001_2663984	460		3584697	92.20	460
4346374 2-E1_S145_L001_R1_001_851604	460		183870	99.30	460
4346675 1-C6_S30_L001_R1_001_3122684	440		185306	95.00	440
4348107 2-A8_S104_L001_R1_001_2949361	439		512191	95.40	439
4351228 2-G8_S176_L001_R1_001_4283212	442		182420	94.60	442
4352657 2-F11_S167_L001_R1_001_19494	436		193666	95.40	436
4353745 1-G4_S76_L001_R1_001_1539986	460		4348122	93.70	460
4354582 2-H2_S182_L001_R1_001_99619	442		297872	96.60	442
4355971 2-A9_S105_L001_R1_001_2404555	439		4289859	99.10	439
4356065 1-D9_S45_L001_R1_001_4113456	440		216888	95.00	440
4356080 2-B8_S116_L001_R1_001_536555	460		306695	87.80	460
4356641 2-F10_S166_L001_R1_001_1409674	460		183870	95.70	460
4357712 2-F2_S158_L001_R1_001_4231152	460		4348122	93.70	460
4357713 2-B2_S110_L001_R1_001_438683	442		2626509	95.00	442
4358527 1-F7_S67_L001_R1_001_3683101	460		183870	95.00	460
4360128 2-C7_S127_L001_R1_001_958440	460		4348122	93.50	460
436032 2-G3_S171_L001_R1_001_1972189	440		183107	96.10	440
4360486 1-H2_S86_L001_R1_001_3227713	442		297872	96.20	442
4361727 2-G5_S173_L001_R1_001_2367884	460		4348122	94.30	460
4362337 1-G7_S79_L001_R1_001_2034209	440		512191	96.40	440
4364405 1-A4_S4_L001_R1_001_2540490	442		325539	92.80	442
4364747 2-F11_S167_L001_R1_001_25091	440		319260	96.10	440
4365130 2-H4_S184_L001_R1_001_1844260	460		194286	91.10	460
4366173 1-B3_S15_L001_R1_001_1261433	440		216888	94.50	440
4366353 1-G4_S76_L001_R1_001_1555199	443		303937	93.70	443
4366391 2-E1_S145_L001_R1_001_836194	460		183870	94.30	460
4369131 1-F8_S68_L001_R1_001_2227722	463		305127	91.60	463
4369272 2-G10_S178_L001_R1_001_168360	460		194286	95.00	460
4370941 2-D2_S134_L001_R1_001_583294	440		261016	92.00	440
4371061 1-H7_S91_L001_R1_001_4451661	440		184661	96.60	440
4371295 2-E12_S156_L001_R1_001_3799399	440		522863	95.50	440
4372581 1-E10_S58_L001_R1_001_2767514	441		851865	98.90	441
4374084 1-H2_S86_L001_R1_001_3192998	457		194286	92.60	457
4374146 1-E10_S58_L001_R1_001_2760467	465		559954	94.40	465
4374753 1-F6_S66_L001_R1_001_116758	465		4456252	89.90	465
4374853 2-F10_S166_L001_R1_001_1419256	440		2157225	99.30	440
4375000 2-B2_S110_L001_R1_001_442945	465		289174	95.30	465
4375664 2-B9_S117_L001_R1_001_883792	466		4456252	99.40	466
4376964 1-D1_S37_L001_R1_001_663953	460		183870	99.60	460
4377418 2-E12_S156_L001_R1_001_3776521	439		4229175	92.30	439
4378519 2-F12_S168_L001_R1_001_3707458	442		297872	95.20	442
4378688 2-B4_S112_L001_R1_001_1684579	460		183870	94.30	460
4379449 2-E1_S145_L001_R1_001_843924	464		4465473	96.10	464
4379646 1-A7_S7_L001_R1_001_4372333	440		216888	96.10	440
4380137 2-F9_S165_L001_R1_001_3673245	438		289730	98.20	438
4381422 1-G11_S83_L001_R1_001_365460	460		183870	92.80	460
4381553 2-G6_S174_L001_R1_001_1056454	460		4348122	93.50	460
4381555 1-B7_S19_L001_R1_001_3397892	440		196844	91.40	440
4381749 2-E3_S147_L001_R1_001_678435	442		3027156	96.60	442
4383093 1-F12_S72_L001_R1_001_1346667	439		261016	93.60	439
4385791 2-G10_S178_L001_R1_001_182560	460		3584697	92.80	460
4387250 1-A8_S8_L001_R1_001_293941	460		183870	94.30	460
4387453 1-F5_S65_L001_R1_001_91335	442		319260	93.90	442
4388068 2-G10_S178_L001_R1_001_195325	465		313733	93.30	465
4390134 1-D3_S39_L001_R1_001_57063	460		183870	96.30	460
4390211 2-F4_S160_L001_R1_001_2820255	460		183870	98.50	460
4390319 2-F4_S160_L001_R1_001_2793405	457		183870	92.60	457
4390966 1-H7_S91_L001_R1_001_4459779	440		183107	95.20	440
4391448 2-B1_S109_L001_R1_001_3859629	440		183107	95.90	440
4393396 2-B12_S120_L001_R1_001_138878	460		306695	87.60	460
4393745 1-B5_S17_L001_R1_001_2160364	458		4348122	93.20	458
43950 1-C1_S25_L001_R1_001_2276348	440		263546	96.10	440
4395096 2-G9_S177_L001_R1_001_1316995	458		183870	91.90	458
4395677 2-C4_S124_L001_R1_001_1571800	440		261016	94.10	440
4395774 1-A10_S10_L001_R1_001_2975511	460		183870	95.00	460
4396250 1-E10_S58_L001_R1_001_2758506	441		293471	93.70	441
4396655 1-D3_S39_L001_R1_001_44814	438		289730	97.70	438
4396656 1-D10_S46_L001_R1_001_4068656	440		4432516	98.90	440
4396877 2-G11_S179_L001_R1_001_3522738	462		4382457	91.60	462
4398588 1-G11_S83_L001_R1_001_388159	442		294390	94.30	442
4399495 1-A8_S8_L001_R1_001_292158	460		4348122	93.90	460
4399755 1-A2_S2_L001_R1_001_1945618	443		301630	93.90	443
4401375 2-E8_S152_L001_R1_001_1907880	460		183870	96.10	460
4401450 2-G12_S180_L001_R1_001_3846500	465		289174	95.10	465
4401580 2-E4_S148_L001_R1_001_714042	460		183870	95.20	460
4402610 1-A8_S8_L001_R1_001_277330	459		4333921	90.20	459
4402645 2-B8_S116_L001_R1_001_518272	443		303937	93.50	443
4403113 1-E7_S55_L001_R1_001_747930	440		851865	97.00	440
4403259 1-E2_S50_L001_R1_001_4176098	439		589920	93.80	439
4403691 2-G10_S178_L001_R1_001_176022	440		193666	96.10	440
4404181 1-G7_S79_L001_R1_001_2043697	440		851865	91.80	440
4404220 1-E5_S53_L001_R1_001_1751050	465		708925	94.80	465
4405146 2-C11_S131_L001_R1_001_3644108	439		289569	97.30	439
4405421 2-D4_S136_L001_R1_001_1066767	442		3027156	96.60	442
4405423 1-H8_S92_L001_R1_001_1080090	442		182420	92.10	442
4405482 1-E12_S60_L001_R1_001_2177339	440		216888	94.80	440
4405669 1-A4_S4_L001_R1_001_2537790	463		715138	94.00	463
4406684 2-F4_S160_L001_R1_001_2786764	461		851822	92.60	461
4406818 1-H3_S87_L001_R1_001_604146	464		305127	92.00	464
4407747 2-H7_S187_L001_R1_001_252310	442		567229	94.10	442
4408801 2-F2_S158_L001_R1_001_4240261	440		3302038	95.90	440
4409280 1-A8_S8_L001_R1_001_294067	442		2626509	95.20	442
4410097 1-C5_S29_L001_R1_001_2652086	442		224379	92.80	442
4410166 1-B8_S20_L001_R1_001_352301	460		851822	92.40	460
4410265 2-A10_S106_L001_R1_001_4479934	461		169933	91.50	461
4410938 2-F4_S160_L001_R1_001_2797802	464		530323	89.70	464
4411295 2-H7_S187_L001_R1_001_240212	440		216888	96.40	440
4412168 1-G7_S79_L001_R1_001_2037925	460		4348122	93.50	460
4412542 1-A2_S2_L001_R1_001_1955312	459		851822	91.70	459
4412548 2-D10_S142_L001_R1_001_1225596	442		3027156	92.80	442
4414420 2-D11_S143_L001_R1_001_3616696	460		183870	95.20	460
4416614 2-F11_S167_L001_R1_001_19924	460		183870	92.60	460
4417708 1-H5_S89_L001_R1_001_3740291	440		526963	90.20	440
4418862 2-B12_S120_L001_R1_001_137398	440		193666	96.60	440
4419650 2-C4_S124_L001_R1_001_1582449	440		195674	95.70	440
4420408 1-G2_S74_L001_R1_001_3571515	458		183870	97.80	458
4420570 2-E5_S149_L001_R1_001_2860504	442		3359884	96.60	442
4421070 2-G10_S178_L001_R1_001_190172	460		183870	92.60	460
4422556 1-F6_S66_L001_R1_001_120860	440		512191	96.40	440
4424408 2-E11_S155_L001_R1_001_421942	460		4348122	93.50	460
4425571 2-B6_S114_L001_R1_001_302581	465		289174	95.70	465
4426438 2-B12_S120_L001_R1_001_135764	440		195496	95.00	440
4427221 2-E6_S150_L001_R1_001_2005942	460		516290	93.90	460
4427336 1-A8_S8_L001_R1_001_284969	440		512191	96.10	440
4427459 2-F8_S164_L001_R1_001_1730720	442		178457	95.50	442
4428929 2-H10_S190_L001_R1_001_3043010	460		183870	95.90	460
4428949 1-E1_S49_L001_R1_001_3904171	442		297872	95.20	442
4428953 2-G7_S175_L001_R1_001_4613208	442		297872	95.50	442
4429239 2-B12_S120_L001_R1_001_127394	440		190084	95.20	440
4429981 1-F11_S71_L001_R1_001_2063845	442		289569	97.50	442
4432042 2-G10_S178_L001_R1_001_173864	465		4399328	94.40	465
4433720 1-E10_S58_L001_R1_001_2752174	440		2157225	99.30	440
4433947 2-F4_S160_L001_R1_001_2799772	460		183870	93.90	460
4435396 1-G2_S74_L001_R1_001_3542734	457		4348122	93.90	457
4435402 2-G10_S178_L001_R1_001_168453	465		169933	91.00	465
4435655 2-G1_S169_L001_R1_001_4577708	440		303217	93.90	440
4436552 2-H2_S182_L001_R1_001_105784	460		851822	92.40	460
4438116 1-G7_S79_L001_R1_001_2036719	460		183870	95.40	460
4439360 2-F4_S160_L001_R1_001_2817667	460		183870	95.20	460
4439489 2-G10_S178_L001_R1_001_195766	440		3692061	90.00	440
4439530 1-H9_S93_L001_R1_001_915592	440		2122726	96.60	440
4440335 1-A5_S5_L001_R1_001_630504	443		295070	87.80	443
4441081 2-A4_S100_L001_R1_001_477775	446		366392	92.60	446
4443846 1-F1_S61_L001_R1_001_1470605	439		183107	95.70	439
4445028 1-H5_S89_L001_R1_001_3739825	440		851865	97.50	440
4445226 1-F1_S61_L001_R1_001_1451113	460		552779	96.50	460
4447072 2-B2_S110_L001_R1_001_442958	460		183870	97.40	460
4448492 1-G12_S84_L001_R1_001_2735988	440		216888	94.50	440
444857 2-B11_S119_L001_R1_001_4228279	443		4455886	93.50	443
4449427 2-G1_S169_L001_R1_001_4553766	440		183107	95.50	440
4451251 1-C1_S25_L001_R1_001_2265632	444		366392	93.00	444
4452400 1-C10_S34_L001_R1_001_2345536	440		216888	96.40	440
4452437 2-E9_S153_L001_R1_001_570984	357		4456252	88.20	357
4452613 2-C10_S130_L001_R1_001_2883878	465		2116283	95.50	465
4453343 2-E7_S151_L001_R1_001_2443963	440		183107	95.50	440
4453773 1-D3_S39_L001_R1_001_54366	465		4413256	94.00	465
4454586 2-F11_S167_L001_R1_001_3323	459		309693	90.00	459
4455005 2-C7_S127_L001_R1_001_946773	439		327927	94.30	439
4455163 1-B10_S22_L001_R1_001_1129187	460		4348122	93.70	460
4456027 2-F12_S168_L001_R1_001_3703354	440		216888	94.30	440
4456491 2-B9_S117_L001_R1_001_871084	460		4331006	92.80	460
4457064 1-D3_S39_L001_R1_001_54043	460		2594571	91.10	460
4457438 1-B4_S16_L001_R1_001_4694744	440		297872	96.10	440
4457605 1-G12_S84_L001_R1_001_2727414	440		216888	94.50	440
4457872 1-H1_S85_L001_R1_001_2687228	460		183870	95.40	460
4458576 1-B11_S23_L001_R1_001_3767205	444		303937	93.50	444
4460005 1-A8_S8_L001_R1_001_284243	440		183107	98.20	440
4461030 2-F4_S160_L001_R1_001_2801663	460		2116283	95.90	460
4461931 2-G7_S175_L001_R1_001_4601227	440		183107	95.20	440
4462436 1-F12_S72_L001_R1_001_1352894	460		4348122	93.90	460
4463108 2-G10_S178_L001_R1_001_170222	465		518033	91.40	465
4463532 1-B12_S24_L001_R1_001_2137763	440		216888	95.70	440
4463709 2-F8_S164_L001_R1_001_1709920	440		195674	97.70	440
4463892 2-E4_S148_L001_R1_001_727832	460		4348122	93.50	460
4465250 1-D4_S40_L001_R1_001_3178318	460		183870	95.70	460
4466220 2-C10_S130_L001_R1_001_2903328	443		303937	92.30	443
4467447 2-G4_S172_L001_R1_001_3084174	459		183870	92.80	459
4468234 2-C12_S132_L001_R1_001_4165310	458		4348122	93.00	458
4468461 2-F10_S166_L001_R1_001_1409874	440		2157225	98.60	440
4468891 2-C5_S125_L001_R1_001_3502667	464		4465473	89.90	464
4468892 2-B9_S117_L001_R1_001_884040	440		2855860	90.20	440
4469007 2-C4_S124_L001_R1_001_1577615	438		216888	95.20	438
4469302 2-E4_S148_L001_R1_001_724414	440		512191	94.50	440
4471854 2-H5_S185_L001_R1_001_1798284	440		197460	97.70	440
4472130 1-C3_S27_L001_R1_001_1105420	440		522863	95.50	440
4472195 1-E5_S53_L001_R1_001_1754935	441		157382	90.50	441
4472202 1-H3_S87_L001_R1_001_603408	440		183107	95.70	440
4472399 2-B12_S120_L001_R1_001_139263	440		195674	97.00	440
4474255 2-G12_S180_L001_R1_001_3847204	465		4358761	93.10	465
4474760 2-F10_S166_L001_R1_001_1420991	444		301630	94.10	444
4476527 1-H2_S86_L001_R1_001_3233059	440		851865	98.40	440
4476780 2-F8_S164_L001_R1_001_1738299	459		529442	91.90	459
4477017 2-E4_S148_L001_R1_001_739789	440		174924	95.50	440
4477019 2-A1_S97_L001_R1_001_1166219	460		194286	95.20	460
4477861 1-G3_S75_L001_R1_001_4667359	460		183870	95.20	460
4478242 1-A4_S4_L001_R1_001_2529362	440		4432516	99.10	440
4478393 1-B1_S13_L001_R1_001_1595522	442		297872	95.00	442
4478815 1-B12_S24_L001_R1_001_2121078	440		195674	95.50	440
4479405 2-E3_S147_L001_R1_001_689645	465		289174	95.50	465
4480244 2-E4_S148_L001_R1_001_724482	464		715138	94.20	464
4480359 2-D4_S136_L001_R1_001_1066814	442		2626509	95.00	442
4480861 2-G3_S171_L001_R1_001_1979040	463		755474	98.70	463
4481613 2-B7_S115_L001_R1_001_999228	441		366392	88.70	441
4481937 1-B11_S23_L001_R1_001_3771172	460		183870	94.10	460
4482983 1-A7_S7_L001_R1_001_4370035	440		183107	95.70	440
4483337 1-D5_S41_L001_R1_001_1271245	441		216888	94.60	441
4483570 1-G2_S74_L001_R1_001_3545458	460		529442	91.50	460
450576 2-H11_S191_L001_R1_001_3269470	443		567229	91.40	443
452592 1-B3_S15_L001_R1_001_1255799	440		294709	94.30	440
455746 2-D8_S140_L001_R1_001_3108461	440		193666	94.80	440
455805 1-G1_S73_L001_R1_001_3314132	443		4367232	92.80	443
456774 2-G7_S175_L001_R1_001_4612580	440		184661	96.80	440
457614 1-C11_S35_L001_R1_001_4638275	439		216888	94.50	439
458550 2-D11_S143_L001_R1_001_3612571	440		110660	95.90	440
462585 1-B7_S19_L001_R1_001_3405641	440		193666	97.00	440
463007 2-A11_S107_L001_R1_001_1639147	440		328282	92.00	440
463361 1-G6_S78_L001_R1_001_4391447	465		1668820	96.80	465
467605 2-G5_S173_L001_R1_001_2372805	442		3359884	97.70	442
469663 1-A5_S5_L001_R1_001_629398	446		366392	93.30	446
470117 2-C1_S121_L001_R1_001_781167	440		268693	95.90	440
470382 1-D3_S39_L001_R1_001_44991	440		184661	97.30	440
471180 2-H2_S182_L001_R1_001_95436	447		639310	91.10	447
48084 1-H11_S95_L001_R1_001_1484516	441		157382	94.60	441
484304 1-C1_S25_L001_R1_001_2285933	334		639310	88.00	334
495017 2-F4_S160_L001_R1_001_2802162	461		495086	93.30	461
495070 2-C10_S130_L001_R1_001_2890034	438		503372	96.80	438
495451 1-G4_S76_L001_R1_001_1551404	461		246308	90.50	461
498743 2-E12_S156_L001_R1_001_3811900	441		263546	92.70	441
503315 2-A10_S106_L001_R1_001_4493186	439		4229175	92.50	439
503406 2-F11_S167_L001_R1_001_23518	439		4420082	88.40	439
508897 2-A11_S107_L001_R1_001_1644817	440		522863	93.90	440
508968 2-E1_S145_L001_R1_001_863982	442		297872	95.50	442
509383 2-A10_S106_L001_R1_001_4488596	440		512191	95.50	440
509416 1-H3_S87_L001_R1_001_592339	439		195674	97.50	439
509709 2-G6_S174_L001_R1_001_1040219	440		216888	95.70	440
509838 1-H4_S88_L001_R1_001_4736587	441		159007	97.30	441
510524 2-F4_S160_L001_R1_001_2787881	442		293471	92.50	442
510777 1-F1_S61_L001_R1_001_1455924	441		297872	96.60	441
511378 1-F5_S65_L001_R1_001_83961	466		4456252	92.10	466
511908 2-G10_S178_L001_R1_001_174890	465		559954	95.30	465
512250 2-H11_S191_L001_R1_001_3276121	440		193666	98.40	440
512494 2-F8_S164_L001_R1_001_1735030	464		514182	89.90	464
512682 2-F11_S167_L001_R1_001_213	440		193666	96.80	440
513003 1-A8_S8_L001_R1_001_280063	460		851822	92.00	460
513010 2-H5_S185_L001_R1_001_1774146	440		190084	95.20	440
51306 2-D4_S136_L001_R1_001_1060776	440		851865	99.50	440
513080 2-B4_S112_L001_R1_001_1693458	465		1523543	96.30	465
513405 2-B1_S109_L001_R1_001_3882676	440		261016	93.60	440
513440 2-G6_S174_L001_R1_001_1034676	440		522863	95.50	440
513445 2-F11_S167_L001_R1_001_68	460		4348122	94.30	460
513706 2-H4_S184_L001_R1_001_1839854	443		337993	97.70	443
513935 1-G11_S83_L001_R1_001_366167	439		193666	95.90	439
514272 2-F11_S167_L001_R1_001_8043	440		195674	97.70	440
514282 2-D5_S137_L001_R1_001_34965	440		193666	96.80	440
514512 2-E12_S156_L001_R1_001_3801014	461		4331006	92.80	461
514523 2-D3_S135_L001_R1_001_167943	440		851865	98.60	440
514533 2-C7_S127_L001_R1_001_935306	440		297872	96.80	440
514940 1-F1_S61_L001_R1_001_1463909	440		851865	98.40	440
514988 2-F9_S165_L001_R1_001_3665130	438		289730	97.70	438
514996 1-B7_S19_L001_R1_001_3416358	438		216888	95.70	438
515299 2-A4_S100_L001_R1_001_465482	440		159007	97.30	440
515575 2-D9_S141_L001_R1_001_1768165	440		851865	98.60	440
515869 2-A7_S103_L001_R1_001_319932	440		851865	98.40	440
516464 2-C10_S130_L001_R1_001_2899129	460		851822	92.80	460
516792 1-D4_S40_L001_R1_001_3164635	439		193666	95.40	439
516977 2-G9_S177_L001_R1_001_1324386	440		181121	96.10	440
517583 1-G5_S77_L001_R1_001_1295784	440		183107	96.10	440
517797 1-F1_S61_L001_R1_001_1444656	440		261016	93.90	440
518002 2-F4_S160_L001_R1_001_2808376	465		289174	95.10	465
518016 2-B6_S114_L001_R1_001_316684	440		193666	98.40	440
518033 2-E3_S147_L001_R1_001_675109	465		518033	99.10	465
518040 2-H7_S187_L001_R1_001_266004	444		303937	94.40	444
518389 1-H7_S91_L001_R1_001_4473713	440		193666	98.40	440
518438 2-C3_S123_L001_R1_001_2302677	442		297872	95.50	442
518460 1-H3_S87_L001_R1_001_601481	440		3931706	94.10	440
518613 2-D1_S133_L001_R1_001_4341144	441		297872	96.60	441
518748 2-H4_S184_L001_R1_001_1840264	440		297872	96.80	440
518820 1-D3_S39_L001_R1_001_50652	460		4331006	93.30	460
519398 1-F3_S63_L001_R1_001_3254624	440		190084	95.70	440
519763 2-A4_S100_L001_R1_001_466026	443		263546	95.50	443
519766 2-E6_S150_L001_R1_001_2001692	460		516290	94.10	460
520369 1-F6_S66_L001_R1_001_122523	440		530061	98.90	440
520413 1-B9_S21_L001_R1_001_4093222	440		851865	99.30	440
520643 2-E6_S150_L001_R1_001_2006643	437		261016	94.30	437
520774 2-D10_S142_L001_R1_001_1226691	440		851865	97.30	440
52166 2-C7_S127_L001_R1_001_967195	465		4456252	90.10	465
521792 2-H10_S190_L001_R1_001_3041718	443		302431	93.50	443
521854 1-C9_S33_L001_R1_001_2621157	460		516290	94.10	460
521927 1-D4_S40_L001_R1_001_3182151	460		183870	95.00	460
522025 1-B12_S24_L001_R1_001_2138817	465		316765	93.30	465
522135 1-G10_S82_L001_R1_001_2376973	440		297872	96.80	440
522138 2-H10_S190_L001_R1_001_3045253	441		159007	97.10	441
522254 1-D3_S39_L001_R1_001_43670	460		516290	94.10	460
522364 2-B9_S117_L001_R1_001_873433	460		4331006	93.30	460
522511 2-E3_S147_L001_R1_001_680503	439		851865	98.90	439
522959 2-E6_S150_L001_R1_001_2004333	460		192222	92.40	460
523064 2-F11_S167_L001_R1_001_13295	440		216888	96.40	440
523140 2-F11_S167_L001_R1_001_778	441		290018	97.70	441
523542 1-A11_S11_L001_R1_001_1025869	439		261016	92.90	439
523782 2-F7_S163_L001_R1_001_2920668	440		197460	97.70	440
523934 2-F11_S167_L001_R1_001_459	440		193666	96.60	440
523987 1-A11_S11_L001_R1_001_1017888	440		297872	97.00	440
524318 1-G4_S76_L001_R1_001_1528408	460		183870	95.40	460
524371 1-D3_S39_L001_R1_001_46032	460		192222	92.60	460
524404 1-B10_S22_L001_R1_001_1133791	433		190084	95.80	433
524444 1-F6_S66_L001_R1_001_120970	440		193666	95.90	440
524575 2-C1_S121_L001_R1_001_781041	440		297872	96.60	440
524633 2-D3_S135_L001_R1_001_154642	464		524633	98.90	464
524842 1-B8_S20_L001_R1_001_359020	439		335759	95.00	439
524884 1-D3_S39_L001_R1_001_48757	465		530323	91.40	465
524891 2-E8_S152_L001_R1_001_1902959	460		851822	92.60	460
525142 1-A3_S3_L001_R1_001_1940803	440		183107	98.20	440
525215 2-E1_S145_L001_R1_001_830715	440		851865	97.30	440
525341 1-G1_S73_L001_R1_001_3315259	441		580168	90.90	441
525378 2-H8_S188_L001_R1_001_2491148	440		193666	96.60	440
525401 1-C9_S33_L001_R1_001_2627131	396		297872	97.00	396
525458 2-D7_S139_L001_R1_001_4530757	440		181121	96.60	440
525474 1-E1_S49_L001_R1_001_3907356	442		297872	95.20	442
525698 2-B8_S116_L001_R1_001_528427	440		851865	96.40	440
526682 2-B6_S114_L001_R1_001_307887	458		4427000	91.90	458
526701 1-B9_S21_L001_R1_001_4086573	460		851822	92.40	460
526773 2-F11_S167_L001_R1_001_99	440		193666	97.00	440
527709 1-C9_S33_L001_R1_001_2629190	439		183107	95.40	439
527874 1-H8_S92_L001_R1_001_1099246	460		851822	92.80	460
527941 1-E8_S56_L001_R1_001_895879	460		851822	92.60	460
527988 1-F6_S66_L001_R1_001_121469	440		319870	94.80	440
528362 1-A5_S5_L001_R1_001_613805	440		297872	96.60	440
528421 2-G4_S172_L001_R1_001_3067866	465		559954	94.00	465
528652 2-F11_S167_L001_R1_001_939	440		851865	99.30	440
528692 2-B1_S109_L001_R1_001_3867229	443		297872	94.60	443
529180 2-F11_S167_L001_R1_001_305	440		195674	98.20	440
529258 2-F11_S167_L001_R1_001_398	443		337993	98.40	443
529652 1-C10_S34_L001_R1_001_2344648	465		158415	94.20	465
529740 2-A1_S97_L001_R1_001_1174115	442		297872	95.20	442
529789 2-C1_S121_L001_R1_001_795321	443		290018	95.70	443
529873 2-H10_S190_L001_R1_001_3028051	440		297872	96.80	440
529905 1-C1_S25_L001_R1_001_2268588	440		297872	97.00	440
529940 2-E4_S148_L001_R1_001_725895	440		851865	98.90	440
529979 1-F5_S65_L001_R1_001_87574	463		4465473	90.50	463
530049 2-E11_S155_L001_R1_001_417735	443		350341	98.60	443
530094 2-F10_S166_L001_R1_001_1416532	439		851865	99.10	439
530164 2-E11_S155_L001_R1_001_409037	460		4340587	97.20	460
530206 2-G12_S180_L001_R1_001_3844736	460		851822	93.50	460
530327 2-E5_S149_L001_R1_001_2860973	71	No search results.
530379 2-A7_S103_L001_R1_001_334699	440		512191	95.70	440
530653 2-D8_S140_L001_R1_001_3107052	460		851822	92.40	460
530700 1-H4_S88_L001_R1_001_4724934	440		183107	94.50	440
531052 2-B11_S119_L001_R1_001_4214682	440		197460	93.20	440
531374 1-E9_S57_L001_R1_001_1876446	439		289730	97.70	439
531436 1-E7_S55_L001_R1_001_752461	443		297872	95.70	443
531539 1-A11_S11_L001_R1_001_1026683	440		297872	97.30	440
531614 2-E12_S156_L001_R1_001_3814705	459		4331006	92.80	459
531675 1-G11_S83_L001_R1_001_382507	440		193666	96.40	440
532203 2-E8_S152_L001_R1_001_1897691	441		193666	98.20	441
532235 1-A4_S4_L001_R1_001_2537644	440		522863	96.40	440
532521 2-E12_S156_L001_R1_001_3819191	439		527630	99.50	439
532771 1-D9_S45_L001_R1_001_4102595	443		297872	95.00	443
532922 2-G10_S178_L001_R1_001_181767	442		325539	93.40	442
533847 2-B2_S110_L001_R1_001_443514	443		263546	95.50	443
534042 2-H9_S189_L001_R1_001_3286664	438		4289859	98.20	438
534926 2-C1_S121_L001_R1_001_777193	440		183107	93.00	440
535375 2-H2_S182_L001_R1_001_92479	460		183870	93.30	460
535601 1-F5_S65_L001_R1_001_65050	440		512191	94.80	440
537219 1-G11_S83_L001_R1_001_369503	443		350341	97.10	443
537503 1-F5_S65_L001_R1_001_76465	443		337993	98.20	443
537661 1-B2_S14_L001_R1_001_3143567	440		216888	93.60	440
538322 2-F3_S159_L001_R1_001_1147962	442		325539	93.90	442
538947 1-E8_S56_L001_R1_001_895268	439		193666	96.10	439
539328 1-D1_S37_L001_R1_001_640190	441		157382	95.00	441
539581 2-H8_S188_L001_R1_001_2501782	464		4382457	96.80	464
540055 1-F5_S65_L001_R1_001_73656	443		303571	97.10	443
540079 2-G1_S169_L001_R1_001_4537936	443		295070	96.60	443
540086 2-H9_S189_L001_R1_001_3291930	438		4289859	98.40	438
540770 1-C8_S32_L001_R1_001_2593931	440		512191	95.50	440
540862 1-F6_S66_L001_R1_001_111777	442		3302038	94.60	442
540940 2-C7_S127_L001_R1_001_971673	465		292203	95.90	465
541328 1-F3_S63_L001_R1_001_3236905	440		4336516	98.60	440
541602 2-F2_S158_L001_R1_001_4241600	442		297872	96.20	442
542096 2-C8_S128_L001_R1_001_492560	440		3931706	96.10	440
544243 2-H10_S190_L001_R1_001_3051820	439		319260	97.30	439
544859 2-G10_S178_L001_R1_001_169270	442		303574	90.70	442
544896 2-H7_S187_L001_R1_001_257212	440		193666	96.10	440
545038 2-G9_S177_L001_R1_001_1326460	439		289730	97.90	439
545061 2-H2_S182_L001_R1_001_97654	459		851822	92.60	459
545473 2-A2_S98_L001_R1_001_696593	440		512191	95.50	440
546557 1-D3_S39_L001_R1_001_44702	460		527437	93.00	460
546876 2-F11_S167_L001_R1_001_5615	440		193666	96.80	440
547287 2-H7_S187_L001_R1_001_237145	440		183107	95.50	440
547906 2-B11_S119_L001_R1_001_4211778	444		303937	93.50	444
547913 2-F11_S167_L001_R1_001_16	440		195674	98.00	440
54794 1-H5_S89_L001_R1_001_3743605	465		316765	92.00	465
548032 2-F11_S167_L001_R1_001_27497	442		182420	94.10	442
548133 2-D3_S135_L001_R1_001_166965	440		297872	97.00	440
548503 2-D5_S137_L001_R1_001_41354	440		311952	95.50	440
549635 2-F11_S167_L001_R1_001_6254	441		193666	96.40	441
550814 2-H7_S187_L001_R1_001_250099	460		183870	93.70	460
551305 2-D8_S140_L001_R1_001_3100352	167	No search results.
551419 2-B10_S118_L001_R1_001_2826098	442		341023	93.00	442
551822 2-E3_S147_L001_R1_001_692714	439		4434334	97.00	439
551902 2-F7_S163_L001_R1_001_2917852	442		132657	93.70	442
552235 2-H7_S187_L001_R1_001_251506	443		4426850	93.00	443
552380 2-H2_S182_L001_R1_001_98008	440		157382	90.90	440
552528 2-A7_S103_L001_R1_001_330884	460		194286	92.20	460
552779 2-H7_S187_L001_R1_001_252969	382		552779	99.00	382
553080 1-E12_S60_L001_R1_001_2182185	442		325539	92.80	442
553150 1-G8_S80_L001_R1_001_216732	441		3931706	93.90	441
553611 2-B8_S116_L001_R1_001_546280	372		639310	89.20	372
554160 1-F1_S61_L001_R1_001_1452319	438		193666	98.90	438
